panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,37.78666666666667,39.156666666666666,-1.37,-0.5,0.4633333333333333,-1.37,0.7881211878812119,0.95,-11.320083333333333,8.786999999999999
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,1.0,0.9966666666666667,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,1.0,0.95,0.0,0.01
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,30.173333333333332,32.53,-2.3566666666666665,-1.0,0.45666666666666667,-2.3566666666666665,0.24707529247075294,0.95,-6.927416666666665,0.4766666666666667
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,299,30.17391304347826,30.632107023411372,-0.45819397993311034,-1.0,0.45819397993311034,-0.45819397993311034,0.49005099490050996,0.95,-1.6725752508361198,0.8530100334448151
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,46.026666666666664,37.60333333333333,8.423333333333334,-1.0,0.44666666666666666,8.423333333333334,0.16598340165983402,0.95,-3.1507499999999986,21.101249999999993
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9966666666666667,0.9966666666666667,0.0,0.0,0.0033333333333333335,0.0,1.0,0.95,-0.01,0.01
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,217.92,218.78666666666666,-0.8666666666666667,0.0,0.48,-0.8666666666666667,0.7216278372162783,0.95,-5.520499999999998,3.9335833333333317
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,298,216.64093959731542,217.5234899328859,-0.8825503355704698,0.0,0.4798657718120805,-0.8825503355704698,0.5371462853714628,0.95,-3.600922818791946,1.7818791946308725
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,208.54666666666665,209.05,-0.5033333333333333,0.0,0.4866666666666667,-0.5033333333333333,0.7099290070992901,0.95,-2.993416666666666,1.9437499999999976
MM Withdrawal,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.14333333333333334,0.18333333333333332,-0.04,0.0,0.11666666666666667,-0.04,0.22357764223577642,0.95,-0.09666666666666666,0.02
MM Withdrawal,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,560.3366666666667,548.3233333333334,12.013333333333334,0.0,0.16333333333333333,12.013333333333334,0.205979402059794,0.95,-5.984333333333332,30.80025
MM Withdrawal,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,8,235.125,251.125,-16.0,-52.5,0.25,-16.0,0.838016198380162,0.95,-137.87812499999998,115.38749999999993
MM Withdrawal,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,218.99,239.05666666666667,-20.066666666666666,7.5,0.5333333333333333,-20.066666666666666,0.1715828417158284,0.95,-47.62766666666666,10.031583333333325
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.13333333333333333,0.23666666666666666,-0.10333333333333333,0.0,0.09666666666666666,-0.10333333333333333,0.000999900009999,0.95,-0.16666666666666666,-0.043333333333333335
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,566.2033333333334,527.7266666666667,38.47666666666667,0.0,0.22,38.47666666666667,0.00029997000299970003,0.95,18.46766666666667,59.83066666666666
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,11,308.1818181818182,267.1818181818182,41.0,28.0,0.5454545454545454,41.0,0.6483351664833517,0.95,-133.27272727272728,197.91818181818178
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,145.37,162.32666666666665,-16.956666666666667,-3.0,0.4266666666666667,-16.956666666666667,0.3010698930106989,0.95,-48.99649999999999,13.983583333333332
Dealer Liquidity Crisis,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.16,0.17666666666666667,-0.016666666666666666,0.0,0.13666666666666666,-0.016666666666666666,0.6661333866613338,0.95,-0.07666666666666666,0.04666666666666667
Dealer Liquidity Crisis,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,542.94,549.4333333333333,-6.493333333333333,0.0,0.16666666666666666,-6.493333333333333,0.5838416158384162,0.95,-29.641916666666663,15.901833333333323
Dealer Liquidity Crisis,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,7,358.2857142857143,269.7142857142857,88.57142857142857,57.0,0.5714285714285714,88.57142857142857,0.2536746325367463,0.95,-29.15357142857141,214.71428571428572
Dealer Liquidity Crisis,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,119.16333333333333,86.58666666666667,32.57666666666667,1.0,0.5066666666666667,32.57666666666667,0.022097790220977902,0.95,4.076500000000001,59.432416666666654
Funding Liquidity Shock,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.12666666666666668,0.23666666666666666,-0.11,0.0,0.09666666666666666,-0.11,0.0008999100089991,0.95,-0.17,-0.05333333333333334
Funding Liquidity Shock,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,564.0733333333334,519.1566666666666,44.916666666666664,0.0,0.22333333333333333,44.916666666666664,9.999000099990002e-05,0.95,21.48133333333334,68.02816666666666
Funding Liquidity Shock,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,9,279.1111111111111,308.77777777777777,-29.666666666666668,110.0,0.5555555555555556,-29.666666666666668,0.774022597740226,0.95,-212.22222222222223,142.24444444444433
Funding Liquidity Shock,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,61.52333333333333,46.943333333333335,14.58,2.0,0.5233333333333333,14.58,0.136986301369863,0.95,-3.831416666666664,33.57424999999999
High-Vol Stress,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.09333333333333334,0.10333333333333333,-0.01,0.0,0.07666666666666666,-0.01,0.7791220877912208,0.95,-0.05333333333333334,0.03333333333333333
High-Vol Stress,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,581.3533333333334,574.8633333333333,6.49,0.0,0.1,6.49,0.2836716328367163,0.95,-5.431333333333331,18.201583333333325
High-Vol Stress,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,5,472.4,299.6,172.8,220.0,0.8,172.8,0.1254874512548745,0.95,42.6,294.4
High-Vol Stress,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,121.14666666666666,111.85666666666667,9.29,9.0,0.54,9.29,0.039996000399960006,0.95,0.31550000000000206,18.289749999999966
MM Withdrawal,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovered_indicator,Recovered Indicator,all,300,0.013333333333333334,0.02666666666666667,-0.013333333333333334,0.0,0.013333333333333334,-0.013333333333333334,0.38966103389661033,0.95,-0.03666666666666667,0.01
MM Withdrawal,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,time_observed_steps,Observed Time,all,300,15.293333333333333,21.64666666666667,-6.3533333333333335,-1.0,0.45666666666666667,-6.3533333333333335,0.15908409159084091,0.95,-15.15025,2.2872499999999967
MM Withdrawal,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovery_steps_both_recovered,Recovery Steps,both_recovered,0,nan,nan,nan,nan,nan,nan,nan,0.95,nan,nan
MM Withdrawal,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,half_life_steps,Half-life,all,300,358.48333333333335,354.56666666666666,3.9166666666666665,8.5,0.52,3.9166666666666665,0.7832216778322167,0.95,-21.864166666666666,30.790749999999996
Flash Crash,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovered_indicator,Recovered Indicator,all,300,0.006666666666666667,0.03333333333333333,-0.02666666666666667,0.0,0.0033333333333333335,-0.02666666666666667,0.022997700229977002,0.95,-0.04666666666666667,-0.006666666666666667
Flash Crash,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,time_observed_steps,Observed Time,all,300,18.21,29.49,-11.28,-2.0,0.41333333333333333,-11.28,0.007799220077992201,0.95,-20.87375,-3.483000000000002
Flash Crash,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,437.0,525.0,-88.0,-88.0,0.0,-88.0,1.0,0.95,-88.0,-88.0
