panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,203,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,15.0,nan,1231.8064964144908,1231.8064964144908,1.0,50.0,347.79784223796446,0.28234779021731504,0.10086115130654999,-73.22293816735255,1395.4997818529177
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,203,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,24.0,411.0,24.0,2350.245876263891,2350.245876263891,9.0,50.0,235.60097491465808,-0.2678473274555971,0.14328196490633097,-86.505715111999,2350.245876263891
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,204,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,6.0,nan,1091.910691883706,1091.910691883706,5.0,50.0,286.58632248985907,0.26246315254542996,0.0940221073875789,-80.27207053685142,1091.910691883706
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,204,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,25.0,25.0,20.0,25.0,-83.5691803525305,-83.5691803525305,5.0,50.0,-58.68940253459415,-0.7022852478272156,0.16273225306637829,-83.5691803525305,83.5691803525305
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,204,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,6.0,nan,858.9670811700386,858.9670811700386,5.0,50.0,243.85710800517586,0.28389575497236386,0.09601662898986489,-85.18204569257858,858.9670811700386
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,204,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,25.0,25.0,25.0,1091.910691883706,1091.910691883706,8.0,50.0,118.22770199763873,0.14473382994240763,0.1708225233820362,-85.18204569257858,1091.910691883706
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,205,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,25.0,nan,1296.7593336513646,1296.7593336513646,3.0,50.0,481.26192075380425,0.37112662948697317,0.11303098794145328,-67.11783970682401,1461.0586747122516
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,205,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,26.0,26.0,27.0,26.0,-84.69606415219351,-84.69606415219351,6.0,50.0,-70.08482407665508,-0.8274861975961132,0.20198663776699274,-84.69606415219351,84.69606415219351
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,205,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,7.0,nan,956.3378062884279,956.3378062884279,1.0,50.0,379.8649191060898,0.39720788680346697,0.11187643288028991,-79.26156713214769,956.3378062884279
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,205,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,26.0,164.0,26.0,1296.7593336513646,1296.7593336513646,8.0,50.0,197.7454564668077,-0.04047940968812247,0.33533876287413156,-84.69606415219351,1461.0586747122516
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,206,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,411.0,411.0,9.0,411.0,1046.2567746960065,1046.2567746960065,4.0,50.0,433.3100122493027,0.4141526465864008,0.08977538525969868,-81.96655008710793,1046.2567746960065
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,206,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,27.0,27.0,27.0,27.0,-80.10923719778621,-80.10923719778621,4.0,50.0,-67.39369508059275,-0.8412724604305076,0.1745970065657805,-82.08795742012282,82.08795742012282
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,206,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,9.0,nan,933.2531732238083,933.2531732238083,4.0,50.0,340.25269436055316,0.3645877711673801,0.08417570792093722,-86.04861668380987,933.2531732238083
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,206,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,27.0,27.0,411.0,1046.2567746960065,1046.2567746960065,7.0,50.0,176.78828015959306,0.0775541931222873,0.134540263483208,-86.04861668380987,1046.2567746960065
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,207,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,6.0,nan,884.4904107929549,884.4904107929549,5.0,50.0,306.9953441093611,0.34708724974659316,0.1005726034805966,-82.03940890829188,884.4904107929549
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,207,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,36.0,36.0,18.0,36.0,-87.53967934747322,-87.53967934747322,0.0,50.0,-65.13497341990279,-0.7440622801616747,0.17685102350111392,-87.53967934747322,87.53967934747322
