panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,81.64,76.32666666666667,5.3133333333333335,1.0,0.5066666666666667,5.3133333333333335,0.25547445255474455,0.95,-3.1516666666666637,14.443499999999998
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,295,76.0677966101695,72.2,3.8677966101694916,1.0,0.5050847457627119,3.8677966101694916,0.19168083191680832,0.95,-1.6520338983050826,9.753220338983047
Dealer Liquidity Crisis,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,28.14666666666667,29.026666666666667,-0.88,1.0,0.5466666666666666,-0.88,0.8446155384461553,0.95,-4.5369166666666665,1.390083333333333
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.99,1.0,-0.01,0.0,0.0,-0.01,0.25277472252774724,0.95,-0.023333333333333334,0.0
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,74.95666666666666,76.97666666666667,-2.02,-1.5,0.48333333333333334,-2.02,0.7132286771322868,0.95,-12.145416666666662,9.080083333333333
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,297,69.65319865319866,77.31313131313131,-7.65993265993266,-2.0,0.4781144781144781,-7.65993265993266,0.0795920407959204,0.95,-16.59326599326599,0.3762626262626125
Funding Liquidity Shock,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,34.71333333333333,32.10666666666667,2.6066666666666665,1.0,0.51,2.6066666666666665,0.5948405159484051,0.95,-6.631166666666664,11.810666666666663
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9666666666666667,0.9533333333333334,0.013333333333333334,0.0,0.043333333333333335,0.013333333333333334,0.5314468553144686,0.95,-0.016666666666666666,0.04666666666666667
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,263.5466666666667,278.16333333333336,-14.616666666666667,-6.0,0.4266666666666667,-14.616666666666667,0.0377962203779622,0.95,-28.577333333333332,-0.6256666666666721
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,277,251.98194945848377,262.8519855595668,-10.870036101083032,-5.0,0.4296028880866426,-10.870036101083032,0.022297770222977704,0.95,-20.385379061371836,-1.8695848375451287
High-Vol Stress,depth_resilience,Depth Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,204.06333333333333,207.34333333333333,-3.28,-1.0,0.36666666666666664,-3.28,0.0014998500149985001,0.95,-6.760166666666666,-0.9797500000000013
MM Withdrawal (Isolated),execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7933333333333333,0.8866666666666667,-0.09333333333333334,0.0,0.08333333333333333,-0.09333333333333334,0.0022997700229977,0.95,-0.14666666666666667,-0.03666666666666667
MM Withdrawal (Isolated),execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,189.42666666666668,131.66666666666666,57.76,14.5,0.59,57.76,0.0010998900109989002,0.95,24.609416666666668,92.54158333333329
MM Withdrawal (Isolated),execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,213,85.34272300469483,70.65727699530517,14.685446009389672,9.0,0.5821596244131455,14.685446009389672,0.12818718128187181,0.95,-4.1666666666666625,33.07523474178404
MM Withdrawal (Isolated),execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,216.77666666666667,176.21333333333334,40.56333333333333,3.5,0.5533333333333333,40.56333333333333,0.019598040195980403,0.95,8.083166666666667,74.10908333333332
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8766666666666667,0.95,-0.07333333333333333,0.0,0.04,-0.07333333333333333,0.0013998600139986002,0.95,-0.11666666666666667,-0.03
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,136.74333333333334,78.30333333333333,58.44,9.0,0.58,58.44,0.00019998000199980003,0.95,31.982916666666668,85.16116666666666
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,251,71.9203187250996,51.53386454183267,20.38645418326693,4.0,0.5577689243027888,20.38645418326693,0.007099290070992901,0.95,5.457470119521913,35.17639442231076
Flash Crash,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,136.88333333333333,102.64333333333333,34.24,1.5,0.5233333333333333,34.24,0.030596940305969402,0.95,3.8534166666666723,65.66274999999999
Dealer Liquidity Crisis,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9533333333333334,0.9966666666666667,-0.043333333333333335,0.0,0.0033333333333333335,-0.043333333333333335,0.0013998600139986002,0.95,-0.07,-0.02
