panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,298,41.761744966442954,28.546971387452267,37.0,0.95,38.84798657718121,45.422986577181206
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9666666666666667,0.17980541941701306,1.0,0.95,0.9466666666666667,0.9866666666666667
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,197.24666666666667,100.1586658759777,205.0,0.95,186.26708333333335,208.63958333333332
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.20174806504899392,0.12340311011144912,0.1727301931607932,0.95,0.18839130074178004,0.21684170030007094
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.2874880815611952,0.15302582668811404,0.26681081611577817,0.95,0.2705293658770185,0.30548465013813375
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,290,183.35862068965517,67.62042195386648,204.0,0.95,175.35827586206895,191.22163793103448
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.99,0.09966499068325335,1.0,0.95,0.9766666666666667,1.0
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,214.13,47.884892989215594,206.0,0.95,209.21633333333332,220.13366666666667
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.191671998563408,0.07607961678393507,0.17087575096512686,0.95,0.18348062283357686,0.20033751364098523
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.3939712679939122,0.10732472081776145,0.3820587981919675,0.95,0.38135731609581025,0.4064679390456554
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,297,210.23232323232324,28.140391866170848,206.0,0.95,206.864898989899,213.63998316498316
MM Withdrawal (Isolated),with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.96,0.19628659682628738,1.0,0.95,0.9366666666666666,0.98
MM Withdrawal (Isolated),with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,101.10333333333334,129.89079278013662,52.0,0.95,86.47966666666667,115.45683333333334
MM Withdrawal (Isolated),with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.19683080663212252,0.03975729868873508,0.19105841945130705,0.95,0.1923171412638045,0.20155627148732508
MM Withdrawal (Isolated),with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.5372472149717009,0.07812267341525639,-0.5377984534567644,0.95,-0.5461476177120527,-0.5287993914297053
